iteration,env_steps,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_0_reward_mean,policy_1_reward_mean,policy_2_reward_mean,policy_3_reward_mean,policy_4_reward_mean,policy_5_reward_mean
0,4000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,8000,57.09866666666678,76.22800000000011,20.499999999999975,1726.3333333333333,8.181666666666674,10.648333333333335,8.653000000000006,6.2053333333333365,11.571000000000003,11.839333333333336
2,12000,65.84100000000007,92.2830000000001,20.499999999999975,1708.0,6.743500000000009,9.968000000000002,6.761,14.619333333333342,13.287166666666666,14.462000000000012
3,16000,66.97440000000002,92.2830000000001,20.499999999999975,1562.7,8.209900000000003,10.818800000000003,6.8866,14.809500000000009,13.7899,12.459700000000009
4,20000,61.27928571428573,92.2830000000001,19.735999999999997,1401.9285714285713,7.207785714285717,11.223500000000001,6.555785714285714,11.47521428571429,13.859357142857144,10.957642857142863
5,24000,57.58200000000001,92.2830000000001,18.353999999999985,1304.375,7.602437500000003,9.951750000000002,6.172562500000001,10.635375000000003,13.417875000000002,9.802000000000008
6,28000,61.952454545454586,161.3310000000007,18.353999999999985,1251.590909090909,9.229000000000006,10.480000000000002,6.217045454545455,11.192227272727276,13.125090909090913,11.709090909090916
7,32000,59.74335714285716,161.3310000000007,18.353999999999985,1132.892857142857,8.63053571428572,9.699714285714284,6.45407142857143,10.832821428571432,12.300464285714288,11.825750000000003
8,36000,52.80945945945948,161.3310000000007,12.507999999999996,964.1081081081081,7.5838108108108155,8.046405405405407,6.538324324324326,9.532729729729732,10.165675675675681,10.942513513513518
9,40000,52.70450000000002,161.3310000000007,12.507999999999996,939.7380952380952,7.333357142857148,8.261523809523808,6.750047619047618,9.122785714285717,9.809619047619051,11.42716666666667
10,44000,50.09984000000002,161.3310000000007,12.507999999999996,868.62,7.019960000000005,7.8685800000000015,7.04802,8.488020000000002,9.254060000000004,10.421200000000004
11,48000,49.56712280701756,161.3310000000007,12.507999999999996,832.7719298245614,7.12105263157895,7.576473684210527,7.400649122807018,8.027298245614038,8.928315789473688,10.513333333333335
12,52000,48.36801515151517,161.3310000000007,10.773999999999996,784.8484848484849,6.869136363636367,7.480924242424242,7.619984848484852,7.902515151515155,8.051742424242425,10.443712121212124
13,56000,44.558320512820536,161.3310000000007,10.773999999999996,712.6153846153846,6.378551282051285,6.941371794871795,6.891025641025642,7.30447435897436,7.194102564102566,9.848794871794874
14,60000,43.294647727272746,161.3310000000007,10.773999999999996,677.625,6.142159090909093,6.577727272727272,7.060863636363638,6.981909090909093,6.923215909090911,9.60877272727273
15,64000,40.74466000000001,161.3310000000007,10.773999999999996,615.39,5.653750000000003,6.070630000000001,6.93912,6.432450000000002,6.612410000000002,9.036300000000002
16,68000,36.00147000000001,161.3310000000007,9.186000000000002,483.84,5.146730000000002,5.400819999999998,6.457560000000001,5.44782,5.179560000000002,8.36898
17,72000,31.307310000000008,101.63699999999986,9.186000000000002,402.63,4.515200000000001,4.81998,5.82784,4.359480000000001,4.410640000000001,7.374169999999998
